gu,n,date,rent,return,in_rate,out_rate,use,moment,carbon,distance,time,code_단체권,code_일일권,code_일일권(비회원),code_정기권,sex_F,sex_M,sex_N,age_20대,age_30대,age_40대,age_50대,age_60대,age_70대이상,age_~10대,age_기타
송파구,4894,202209,19,83,4.37,0.23,19,77.74,0.58,2497.12,24.0,0,4,0,9,5,5,3,4,4,3,0,1,0,0,1
용산구,4610,202212,128,259,2.02,0.49,128,508.74,4.51,19437.48,145.6,0,9,1,15,6,10,9,6,5,4,4,0,0,0,6
양천구,4536,202209,819,1641,2.0,0.5,819,1226.13,10.84,46704.52,405.16,3,17,2,21,14,14,15,7,6,6,6,2,1,8,7
강남구,2391,202207,1,2,2.0,0.5,1,99.77,0.9,3875.9,50.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
양천구,4536,202210,847,1484,1.75,0.57,847,1422.32,12.64,54493.75,461.56,1,18,1,19,12,14,13,6,6,5,6,2,0,7,7
양천구,712,202211,834,1434,1.72,0.58,834,1244.69,10.58,45603.93,373.22,3,16,0,22,11,15,15,7,7,6,4,2,2,7,6
금천구,3983,202212,424,725,1.71,0.58,423,455.84,3.91,16830.53,164.43,0,11,0,19,8,13,9,6,5,4,6,2,1,2,4
양천구,712,202210,1031,1706,1.65,0.6,1031,1545.6,13.07,56343.16,466.73,2,19,1,23,14,15,16,6,6,6,5,5,2,7,8
구로구,3911,202212,55,90,1.64,0.61,55,211.17,2.04,8781.89,75.45,2,4,0,14,3,10,7,4,1,3,5,2,0,2,3
금천구,3983,202211,944,1523,1.61,0.62,944,939.31,8.31,35783.04,352.26,0,15,1,23,12,13,14,6,6,6,5,3,2,6,5
구로구,2810,202209,156,249,1.6,0.63,155,428.91,3.58,15449.2,141.45,1,12,1,17,11,10,10,6,6,6,3,1,0,5,4
강서구,3781,202208,115,183,1.59,0.63,115,277.19,2.33,10048.38,85.96,0,9,1,16,7,10,9,5,3,3,3,2,0,4,6
금천구,1855,202207,222,351,1.58,0.63,222,832.78,6.88,29648.06,215.04,1,9,1,16,7,11,9,5,5,4,3,4,2,1,3
양천구,712,202209,1006,1586,1.58,0.63,1006,1471.29,12.43,53594.41,442.0,6,16,1,22,13,15,17,8,7,5,5,2,2,7,9
양천구,712,202208,721,1135,1.57,0.64,721,1046.74,8.88,38264.61,328.77,0,18,0,21,11,15,13,6,6,6,6,3,1,6,5
구로구,3911,202210,167,262,1.57,0.64,167,485.28,4.55,19626.87,166.36,0,14,1,18,12,10,11,6,6,6,4,2,0,4,5
금천구,1855,202208,183,285,1.56,0.64,183,726.36,6.1,26313.57,206.52,0,9,1,15,7,9,9,6,5,1,2,3,2,3,3
구로구,2819,202212,449,694,1.55,0.65,449,507.26,4.37,18841.32,162.24,1,14,1,21,12,13,12,6,4,6,4,4,0,7,6
은평구,991,202212,22,34,1.55,0.65,22,141.44,1.15,4950.98,69.25,0,4,0,8,1,8,3,1,3,2,2,1,1,2,0
성동구,533,202212,142,219,1.54,0.65,142,362.98,3.1,13373.55,103.82,2,12,1,19,11,11,12,6,6,6,4,2,1,3,6
중랑구,1440,202208,120,185,1.54,0.65,120,370.41,3.04,13120.8,100.7,0,12,0,18,10,12,8,6,5,6,5,1,1,2,4
구로구,2809,202212,41,63,1.54,0.65,41,154.14,1.25,5379.9,47.5,1,6,0,13,8,8,4,5,5,3,1,2,0,4,0
구로구,3911,202211,167,255,1.53,0.65,167,452.9,4.2,18119.12,160.09,1,13,1,18,10,11,12,6,5,5,5,3,0,3,6
용산구,4622,202212,128,195,1.52,0.66,128,338.8,2.96,12771.23,95.38,0,11,1,14,9,9,8,6,5,3,1,0,1,5,5
중랑구,1465,202207,1002,1524,1.52,0.66,1002,1606.23,13.86,59745.09,404.6,2,17,1,22,13,16,13,6,6,6,4,4,1,8,7
양천구,712,202212,346,523,1.51,0.66,346,598.81,5.02,21612.16,179.31,0,12,1,22,7,14,14,6,5,5,5,2,2,5,5
양천구,4522,202208,1373,2074,1.51,0.66,1373,1663.22,14.17,61086.21,540.46,5,20,1,22,15,17,16,7,7,7,6,4,3,7,7
금천구,1855,202212,102,154,1.51,0.66,102,487.24,4.15,17904.16,140.0,0,1,0,10,1,7,3,3,1,0,2,2,1,2,0
강서구,3781,202211,124,187,1.51,0.66,124,394.15,3.37,14530.53,108.87,0,8,1,14,5,10,8,6,5,3,3,1,0,1,4
구로구,2810,202207,142,214,1.51,0.66,142,434.71,3.82,16465.42,139.3,2,12,1,18,12,12,9,6,6,6,3,2,0,4,6
동작구,4180,202207,100,150,1.5,0.67,100,403.4,3.45,14869.26,111.66,2,14,1,15,10,12,10,7,6,6,5,1,0,2,5
구로구,2810,202212,28,42,1.5,0.67,28,143.44,1.24,5362.53,45.61,1,2,1,14,6,5,7,2,3,3,3,2,1,3,1
구로구,1952,202212,564,845,1.5,0.67,563,926.66,8.14,35087.2,266.02,2,18,1,19,11,17,12,6,6,7,5,2,2,5,7
은평구,937,202212,33,49,1.48,0.67,33,107.84,0.98,4229.96,58.82,0,5,0,12,5,4,8,4,0,3,3,3,1,2,1
양천구,4522,202210,1827,2709,1.48,0.67,1827,2082.67,17.92,77234.26,709.31,5,19,1,23,17,17,14,7,7,6,6,5,2,7,8
구로구,1931,202212,671,990,1.48,0.68,671,792.52,6.83,29442.59,302.33,1,16,1,21,11,14,14,6,6,5,4,3,1,7,7
구로구,2819,202211,890,1310,1.47,0.68,890,1054.52,8.8,37943.94,345.63,4,16,2,21,15,15,13,6,6,8,6,3,0,6,8
구로구,2819,202207,907,1333,1.47,0.68,906,1131.26,10.13,43667.99,350.05,5,16,1,21,15,15,13,6,7,6,6,4,0,8,6
구로구,2819,202210,1022,1501,1.47,0.68,1022,1340.57,11.72,50523.14,411.07,3,18,1,21,15,13,15,7,7,7,6,3,0,6,7
동작구,2026,202207,686,1004,1.46,0.68,686,1874.93,16.27,70124.56,472.79,2,14,1,22,13,14,12,7,6,6,4,3,1,6,6
양천구,4522,202209,1949,2846,1.46,0.68,1949,2343.25,20.17,86937.48,802.84,6,19,1,23,17,17,15,6,7,7,7,4,2,8,8
관악구,2106,202208,1599,2332,1.46,0.69,1599,2835.29,24.09,103842.62,826.71,4,20,1,23,13,17,18,7,6,6,6,5,3,7,8
구로구,2819,202208,774,1127,1.46,0.69,774,922.63,7.96,34311.25,291.2,3,19,1,21,15,13,16,7,6,6,5,5,0,8,7
양천구,4520,202211,978,1418,1.45,0.69,978,1402.61,11.83,50984.26,433.93,5,15,1,21,15,14,13,6,6,6,4,3,0,8,9
강서구,1141,202210,2024,2932,1.45,0.69,2024,4038.64,34.73,149684.73,1202.65,2,18,1,22,13,16,14,6,6,6,6,4,1,6,8
구로구,3911,202207,229,331,1.45,0.69,229,410.74,3.65,15717.2,167.44,2,17,1,19,13,14,12,6,6,8,6,4,0,3,6
양천구,4520,202209,1170,1689,1.44,0.69,1170,1800.35,15.19,65478.2,530.07,3,18,1,22,13,16,15,7,6,7,5,4,1,6,8
양천구,4522,202211,1629,2350,1.44,0.69,1631,1718.91,14.82,63872.16,602.2,7,20,1,22,16,19,15,8,7,7,6,4,2,8,8
구로구,3911,202208,187,268,1.43,0.7,187,368.1,3.39,14618.39,138.61,3,17,1,20,13,15,13,6,7,7,5,4,0,5,7
양천구,4520,202207,1030,1476,1.43,0.7,1030,1377.88,11.35,48943.83,413.45,5,20,2,22,15,17,17,8,7,7,6,5,1,7,8
양천구,4522,202207,1627,2330,1.43,0.7,1627,2003.77,17.18,74027.21,631.33,5,19,1,23,16,15,17,7,6,8,6,4,2,7,8
구로구,2819,202209,1006,1437,1.43,0.7,1006,1174.89,10.21,44017.26,356.59,5,18,1,22,15,16,15,9,6,6,6,3,1,7,8
금천구,3983,202210,1109,1582,1.43,0.7,1109,1072.6,9.44,40699.8,409.74,5,18,1,22,15,16,15,8,6,6,6,4,1,6,9
동작구,2095,202212,301,429,1.43,0.7,301,549.3,4.61,19883.44,183.03,2,10,0,18,9,14,7,6,6,4,4,3,0,3,4
강서구,3781,202212,52,74,1.42,0.7,52,201.74,1.9,8165.83,72.86,0,3,0,11,2,6,6,3,3,2,2,1,0,1,2
양천구,4520,202208,919,1306,1.42,0.7,919,1497.26,12.38,53384.21,451.1,2,17,1,20,12,13,15,6,6,7,5,4,0,5,7
강서구,1141,202209,2212,3143,1.42,0.7,2212,3884.27,33.61,144873.65,1111.36,8,18,1,23,15,18,17,6,6,8,8,3,2,8,9
강서구,1141,202208,1633,2318,1.42,0.7,1633,3090.59,26.88,115862.98,913.85,7,17,1,22,16,17,14,8,6,7,5,3,1,8,9
강서구,5059,202208,1178,1672,1.42,0.7,1178,1747.09,14.7,63385.67,562.64,6,17,1,21,13,17,15,8,6,8,5,2,1,7,8
노원구,4011,202211,1381,1960,1.42,0.7,1383,2184.01,18.89,81437.48,640.32,5,17,2,23,13,18,16,7,7,6,5,2,3,8,9
양천구,4536,202212,797,1129,1.42,0.71,797,1217.96,10.98,47322.84,408.79,1,13,1,19,10,13,11,5,6,4,5,1,0,7,6
금천구,3983,202209,1172,1659,1.42,0.71,1172,1171.7,10.56,45527.0,437.47,7,18,1,23,16,18,15,7,9,8,5,4,2,7,7
구로구,1952,202207,1445,2039,1.41,0.71,1445,2919.92,25.24,108805.34,738.23,10,21,1,24,19,20,17,9,7,7,6,5,4,8,10
구로구,3910,202210,319,449,1.41,0.71,319,669.77,5.84,25181.13,197.85,1,12,1,20,12,13,9,6,5,6,3,3,1,5,5
양천구,4520,202210,1198,1686,1.41,0.71,1198,1805.87,15.13,65222.81,517.7,2,17,2,22,13,16,14,6,6,5,6,3,1,7,9
양천구,4522,202212,722,1015,1.41,0.71,722,830.41,7.04,30324.22,290.16,2,17,1,23,12,16,15,6,6,5,5,4,2,8,7
구로구,3902,202212,69,97,1.41,0.71,69,161.44,1.41,6098.06,94.62,0,7,0,14,5,8,8,4,4,5,1,2,0,2,3
강서구,3781,202209,178,249,1.4,0.71,178,397.86,3.41,14717.48,124.62,0,10,1,18,8,11,10,6,4,4,5,3,0,2,5
양천구,712,202207,912,1271,1.39,0.72,912,1349.78,11.44,49309.3,394.55,2,17,1,20,12,15,13,6,6,6,5,3,0,7,7
동작구,2027,202207,780,1085,1.39,0.72,780,2536.4,21.65,93336.77,724.44,5,15,1,20,11,16,14,8,8,5,4,2,0,7,7
도봉구,4074,202207,1036,1441,1.39,0.72,1036,1949.17,16.69,71938.34,544.26,4,16,1,22,14,14,15,6,6,8,4,3,1,7,8
강서구,1141,202207,1829,2543,1.39,0.72,1829,3068.39,26.6,114665.23,898.86,7,20,1,23,18,16,17,9,8,7,6,5,2,7,7
양천구,4520,202212,440,611,1.39,0.72,440,625.52,5.3,22860.0,211.14,0,14,0,21,12,13,10,6,6,5,4,2,1,5,6
구로구,1981,202211,853,1184,1.39,0.72,854,1259.63,11.13,47970.08,310.06,1,15,1,18,10,14,11,6,5,6,6,3,0,5,4
구로구,1941,202212,516,716,1.39,0.72,516,747.03,6.2,26751.56,230.6,3,16,1,20,11,14,15,6,7,6,5,3,0,7,6
구로구,1952,202208,1229,1700,1.38,0.72,1229,2481.17,21.76,93783.64,684.71,7,21,1,23,19,17,16,7,7,7,6,5,3,8,9
구로구,3906,202207,757,1047,1.38,0.72,757,1892.42,16.29,70189.58,482.03,0,17,1,20,13,12,13,6,6,5,6,3,1,4,7
동대문구,4116,202212,228,315,1.38,0.72,228,468.64,3.99,17207.38,130.3,0,11,1,18,9,13,8,6,5,5,4,1,0,4,5
구로구,2804,202209,338,466,1.38,0.73,338,945.28,8.39,36151.67,297.47,7,16,1,21,17,17,11,6,8,7,6,2,2,7,7
강남구,2391,202208,8,11,1.38,0.73,8,272.17,2.17,9363.14,54.25,0,2,0,2,0,2,2,1,1,1,1,0,0,0,0
광진구,3528,202207,1248,1714,1.37,0.73,1248,3034.73,25.85,111410.9,802.57,5,20,1,21,15,15,17,6,7,8,7,5,0,7,7
성동구,533,202208,464,637,1.37,0.73,464,1623.38,14.84,63943.36,443.55,0,16,2,22,13,13,14,6,6,5,5,3,1,6,8
금천구,1855,202209,228,313,1.37,0.73,228,799.29,6.71,28947.15,227.06,3,13,0,17,8,16,9,6,7,6,5,2,2,3,2
노원구,4011,202207,1209,1658,1.37,0.73,1209,1952.54,17.13,73830.96,592.33,6,18,1,23,15,17,16,6,6,7,5,5,2,9,8
구로구,2804,202208,243,333,1.37,0.73,243,858.07,7.65,32949.9,276.74,2,16,1,20,13,14,12,6,6,8,5,2,1,4,7
강서구,2719,202212,2212,3028,1.37,0.73,2212,1972.21,16.75,72223.17,639.44,0,18,1,22,12,15,14,6,6,6,5,4,1,6,7
마포구,107,202212,953,1304,1.37,0.73,953,1172.95,10.19,43949.18,494.23,0,14,1,20,11,13,11,6,6,5,4,3,0,4,7
구로구,3906,202209,853,1167,1.37,0.73,853,2215.85,19.48,83950.26,635.8,1,16,1,17,12,12,11,6,6,5,4,2,2,3,7
동작구,2027,202212,204,279,1.37,0.73,204,515.63,4.45,19187.28,146.31,1,11,1,16,8,10,11,7,4,4,5,0,0,4,5
은평구,991,202207,109,149,1.37,0.73,109,311.45,2.56,11046.96,85.72,2,12,1,17,10,12,10,8,5,5,6,2,0,2,4
구로구,3906,202212,450,615,1.37,0.73,450,1048.93,9.23,39778.34,306.65,0,9,0,17,9,10,7,6,5,3,5,4,0,1,2
구로구,3906,202211,749,1023,1.37,0.73,749,1703.11,15.07,64964.32,471.44,0,14,1,17,11,11,10,6,6,6,4,3,1,1,5
구로구,3908,202211,729,994,1.36,0.73,729,1057.13,8.8,37916.81,290.97,3,14,1,21,13,14,12,6,7,5,4,3,0,7,7
구로구,1931,202207,1476,2010,1.36,0.73,1476,1442.15,12.58,54219.5,473.76,6,22,2,24,15,18,21,9,7,6,6,5,5,8,8
강동구,1004,202209,2507,3409,1.36,0.74,2507,4151.86,36.19,155962.07,1265.95,11,21,1,24,20,19,18,8,8,9,6,6,3,8,9
은평구,937,202207,131,178,1.36,0.74,131,616.52,5.33,22983.79,201.16,2,11,1,17,10,9,12,5,7,4,7,2,0,1,5
구로구,1931,202210,1792,2433,1.36,0.74,1792,2021.15,17.44,75152.94,668.37,4,18,1,23,14,17,15,7,6,6,5,5,2,8,7
양천구,745,202210,871,1181,1.36,0.74,871,993.8,8.83,38070.64,347.47,3,18,1,21,14,15,14,7,6,6,5,4,0,8,7
강동구,1056,202212,222,301,1.36,0.74,222,533.73,4.96,21376.61,248.35,0,9,0,17,10,10,6,5,5,4,5,1,1,2,3
구로구,3922,202209,256,347,1.36,0.74,256,747.57,5.56,23986.13,156.42,0,9,1,14,7,8,9,4,5,5,4,0,0,0,6
노원구,4011,202208,1075,1456,1.35,0.74,1075,2039.48,17.71,76365.18,646.39,2,18,1,23,14,15,15,6,6,8,5,4,2,6,7
양천구,745,202207,697,944,1.35,0.74,697,922.87,8.01,34522.24,326.56,2,16,1,22,13,15,13,6,5,7,5,2,2,7,7
광진구,3528,202208,1143,1546,1.35,0.74,1142,2449.22,21.55,92874.88,687.56,8,20,2,22,17,18,17,8,7,9,7,3,3,7,8
관악구,2106,202207,2046,2762,1.35,0.74,2046,3269.38,28.5,122855.85,1026.79,4,19,1,24,15,17,16,7,7,6,6,4,3,8,7
관악구,2106,202209,2253,3040,1.35,0.74,2253,3955.14,33.72,145366.19,1141.77,7,19,2,24,16,17,19,9,8,7,6,4,3,8,7
송파구,4893,202209,2611,3523,1.35,0.74,2611,4074.65,34.16,147235.96,1202.76,2,18,2,19,14,15,12,6,8,6,6,3,1,3,8
