자치구,대여소번호,대여일자,대여건수,반납건수,유입량,유출량
송파구,4894,202209,19 ,83 ,4.37,0.23
용산구,4610,202212,128 ,259 ,2.02,0.49
양천구,4536,202209,819 ,1641 ,2.00,0.50
강남구,2391,202207,1 ,2 ,2.00,0.50
양천구,4536,202210,847 ,1484 ,1.75,0.57
양천구,712,202211,834 ,1434 ,1.72,0.58
금천구,3983,202212,424 ,725 ,1.71,0.58
양천구,712,202210,1031 ,1706 ,1.65,0.60
구로구,3911,202212,55 ,90 ,1.64,0.61
금천구,3983,202211,944 ,1523 ,1.61,0.62
구로구,2810,202209,156 ,249 ,1.60,0.63
강서구,3781,202208,115 ,183 ,1.59,0.63
금천구,1855,202207,222 ,351 ,1.58,0.63
양천구,712,202209,1006 ,1586 ,1.58,0.63
양천구,712,202208,721 ,1135 ,1.57,0.64
구로구,3911,202210,167 ,262 ,1.57,0.64
금천구,1855,202208,183 ,285 ,1.56,0.64
구로구,2819,202212,449 ,694 ,1.55,0.65
은평구,991,202212,22 ,34 ,1.55,0.65
성동구,533,202212,142 ,219 ,1.54,0.65
중랑구,1440,202208,120 ,185 ,1.54,0.65
구로구,2809,202212,41 ,63 ,1.54,0.65
구로구,3911,202211,167 ,255 ,1.53,0.65
용산구,4622,202212,128 ,195 ,1.52,0.66
중랑구,1465,202207,1002 ,1524 ,1.52,0.66
양천구,712,202212,346 ,523 ,1.51,0.66
양천구,4522,202208,1373 ,2074 ,1.51,0.66
금천구,1855,202212,102 ,154 ,1.51,0.66
강서구,3781,202211,124 ,187 ,1.51,0.66
구로구,2810,202207,142 ,214 ,1.51,0.66
동작구,4180,202207,100 ,150 ,1.50,0.67
구로구,2810,202212,28 ,42 ,1.50,0.67
구로구,1952,202212,564 ,845 ,1.50,0.67
은평구,937,202212,33 ,49 ,1.48,0.67
양천구,4522,202210,1827 ,2709 ,1.48,0.67
구로구,1931,202212,671 ,990 ,1.48,0.68
구로구,2819,202211,890 ,1310 ,1.47,0.68
구로구,2819,202207,907 ,1333 ,1.47,0.68
구로구,2819,202210,1022 ,1501 ,1.47,0.68
동작구,2026,202207,686 ,1004 ,1.46,0.68
양천구,4522,202209,1949 ,2846 ,1.46,0.68
관악구,2106,202208,1599 ,2332 ,1.46,0.69
구로구,2819,202208,774 ,1127 ,1.46,0.69
양천구,4520,202211,978 ,1418 ,1.45,0.69
강서구,1141,202210,2024 ,2932 ,1.45,0.69
구로구,3911,202207,229 ,331 ,1.45,0.69
양천구,4520,202209,1170 ,1689 ,1.44,0.69
양천구,4522,202211,1629 ,2350 ,1.44,0.69
구로구,3911,202208,187 ,268 ,1.43,0.70
양천구,4520,202207,1030 ,1476 ,1.43,0.70
양천구,4522,202207,1627 ,2330 ,1.43,0.70
구로구,2819,202209,1006 ,1437 ,1.43,0.70
금천구,3983,202210,1109 ,1582 ,1.43,0.70
동작구,2095,202212,301 ,429 ,1.43,0.70
강서구,3781,202212,52 ,74 ,1.42,0.70
양천구,4520,202208,919 ,1306 ,1.42,0.70
강서구,1141,202209,2212 ,3143 ,1.42,0.70
강서구,1141,202208,1633 ,2318 ,1.42,0.70
강서구,5059,202208,1178 ,1672 ,1.42,0.70
노원구,4011,202211,1381 ,1960 ,1.42,0.70
양천구,4536,202212,797 ,1129 ,1.42,0.71
금천구,3983,202209,1172 ,1659 ,1.42,0.71
구로구,1952,202207,1445 ,2039 ,1.41,0.71
구로구,3910,202210,319 ,449 ,1.41,0.71
양천구,4520,202210,1198 ,1686 ,1.41,0.71
양천구,4522,202212,722 ,1015 ,1.41,0.71
구로구,3902,202212,69 ,97 ,1.41,0.71
강서구,3781,202209,178 ,249 ,1.40,0.71
양천구,712,202207,912 ,1271 ,1.39,0.72
동작구,2027,202207,780 ,1085 ,1.39,0.72
도봉구,4074,202207,1036 ,1441 ,1.39,0.72
강서구,1141,202207,1829 ,2543 ,1.39,0.72
양천구,4520,202212,440 ,611 ,1.39,0.72
구로구,1981,202211,853 ,1184 ,1.39,0.72
구로구,1941,202212,516 ,716 ,1.39,0.72
구로구,1952,202208,1229 ,1700 ,1.38,0.72
구로구,3906,202207,757 ,1047 ,1.38,0.72
동대문구,4116,202212,228 ,315 ,1.38,0.72
구로구,2804,202209,338 ,466 ,1.38,0.73
강남구,2391,202208,8 ,11 ,1.38,0.73
광진구,3528,202207,1248 ,1714 ,1.37,0.73
성동구,533,202208,464 ,637 ,1.37,0.73
